"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
269;50-59;209;2021-04-16
270;50-59;303;2021-04-16
306;50-59;155;2021-04-16
316;50-59;474;2021-04-16
320;50-59;261;2021-04-16
326;50-59;248;2021-04-16
329;50-59;252;2021-04-16
330;50-59;561;2021-04-16
336;50-59;144;2021-04-16
340;50-59;151;2021-04-16
350;50-59;208;2021-04-16
360;50-59;179;2021-04-16
370;50-59;531;2021-04-16
376;50-59;293;2021-04-16
390;50-59;209;2021-04-16
400;50-59;96;2021-04-16
410;50-59;164;2021-04-16
420;50-59;126;2021-04-16
430;50-59;193;2021-04-16
440;50-59;111;2021-04-16
450;50-59;153;2021-04-16
461;50-59;960;2021-04-16
479;50-59;227;2021-04-16
480;50-59;110;2021-04-16
482;50-59;29;2021-04-16
492;50-59;11;2021-04-16
510;50-59;165;2021-04-16
530;50-59;101;2021-04-16
540;50-59;282;2021-04-16
550;50-59;116;2021-04-16
561;50-59;529;2021-04-16
563;50-59;1;2021-04-16
573;50-59;199;2021-04-16
575;50-59;163;2021-04-16
580;50-59;233;2021-04-16
607;50-59;211;2021-04-16
615;50-59;420;2021-04-16
621;50-59;419;2021-04-16
630;50-59;521;2021-04-16
657;50-59;368;2021-04-16
661;50-59;310;2021-04-16
665;50-59;92;2021-04-16
671;50-59;127;2021-04-16
706;50-59;142;2021-04-16
707;50-59;135;2021-04-16
710;50-59;200;2021-04-16
727;50-59;108;2021-04-16
730;50-59;475;2021-04-16
740;50-59;351;2021-04-16
741;50-59;15;2021-04-16
746;50-59;307;2021-04-16
751;50-59;1771;2021-04-16
756;50-59;167;2021-04-16
760;50-59;187;2021-04-16
766;50-59;210;2021-04-16
773;50-59;110;2021-04-16
779;50-59;137;2021-04-16
787;50-59;182;2021-04-16
791;50-59;329;2021-04-16
810;50-59;179;2021-04-16
813;50-59;289;2021-04-16
820;50-59;126;2021-04-16
825;50-59;6;2021-04-16
840;50-59;105;2021-04-16
846;50-59;164;2021-04-16
849;50-59;186;2021-04-16
851;50-59;808;2021-04-16
860;50-59;278;2021-04-16
;60-69;106;2021-04-16
011;60-69;19;2021-04-16
019;60-69;1;2021-04-16
101;60-69;2250;2021-04-16
147;60-69;369;2021-04-16
151;60-69;240;2021-04-16
153;60-69;257;2021-04-16
155;60-69;77;2021-04-16
157;60-69;361;2021-04-16
159;60-69;359;2021-04-16
161;60-69;116;2021-04-16
163;60-69;185;2021-04-16
165;60-69;167;2021-04-16
167;60-69;297;2021-04-16
169;60-69;285;2021-04-16
173;60-69;215;2021-04-16
175;60-69;248;2021-04-16
183;60-69;150;2021-04-16
185;60-69;224;2021-04-16
187;60-69;79;2021-04-16
190;60-69;147;2021-04-16
201;60-69;81;2021-04-16
210;60-69;200;2021-04-16
217;60-69;354;2021-04-16
219;60-69;219;2021-04-16
223;60-69;116;2021-04-16
230;60-69;232;2021-04-16
240;60-69;176;2021-04-16
250;60-69;153;2021-04-16
253;60-69;212;2021-04-16
259;60-69;211;2021-04-16
260;60-69;120;2021-04-16
265;60-69;302;2021-04-16
269;60-69;105;2021-04-16
270;60-69;184;2021-04-16
306;60-69;123;2021-04-16
316;60-69;293;2021-04-16
320;60-69;130;2021-04-16
326;60-69;170;2021-04-16
329;60-69;111;2021-04-16
330;60-69;298;2021-04-16
336;60-69;78;2021-04-16
340;60-69;106;2021-04-16
350;60-69;95;2021-04-16
